Company, Viken Detection
Model, Pb200i
Type, XRF Lead Paint Analyzer
Serial Num., 2753
App Version, Pb200i-5.2.0

Job Id,Reading #,Concentration,Units,3 SD,Result,Calibration Reading,Action Level,RTA Present,Read Through,NomSecs,Date,Time,User,Mode,Analytic Mode,Latitude,Longitude,Accuracy,Job,Location,Room,Side,Componet ,-->Member,Substrate,Condition,-->Cause,Color,
,1,1.0,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-02-26,12:05:48,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Calibration,,,,,,,,
,2,1.0,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-02-26,12:06:15,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Calibration,,,,,,,,
,3,1.0,mg/cm2,0.2,Positive,false,1.00,false,false,5.00,2022-02-26,12:06:44,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Calibration,,,,,,,,
,4,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:07:37,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Dining Room,A,Room,Wall,Wood,Intact,,White,
,5,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:08:02,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Dining Room,B,Room,Wall,Wood,Intact,,White,
,6,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:08:22,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Dining Room,C,Room,Wall,Wood,Intact,,White,
,7,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:08:43,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Dining Room,D,Room,Wall,Wood,Intact,,White,
,8,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:09:13,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Dining Room,D,Door,Casing,Wood,Intact,,Grey,
,9,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:10:13,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Dining Room,B,Room,Crown Molding,Wood,Intact,,Grey,
,10,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:10:36,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Dining Room,C,Room,Baseboard,Wood,Intact,,Grey,
